#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;TAU_SC;S400;S1400;S2000;DIST;ZZ;XX;YY;ASSOC;SURVEY;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);;(cm^-3pc);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);;;
95;J0156+04;NAN;NAN;NAN;NAN;151.975;-55.155;29.00416667;4.03333333;NAN;NAN;27.50;NAN;NAN;NAN;NAN;25.000;-20.517;6.711;21.109;NAN;ar327;
96;J0156+3949;NAN;NAN;NAN;49701.00;136.369;-21.332;29.23019206;39.82459228;1.811561;1.52e-16;59.83;NAN;4.00;NAN;NAN;4.920;-1.790;3.162;11.817;NAN;gb2,gbncc,lotaas;
97;J0157+6212;1.570;44.800;0.560;56000.00;130.586;0.326;29.45809750;62.20740222;2.351745;1.89e-13;30.21;0.00;6.50;1.90;NAN;1.820;0.010;1.382;9.684;NAN;jb1,gb3,gbncc,lotaas;
98;J0158+21;NAN;NAN;NAN;NAN;143.208;-39.084;29.62083333;21.13333333;0.505300;NAN;20.00;NAN;NAN;NAN;NAN;1.568;-0.989;0.729;9.475;NAN;ar327,lotaas;
99;J0201+7005;NAN;NAN;NAN;56777.00;128.889;8.033;30.42226667;70.08836389;1.349184;5.51e-15;21.03;NAN;NAN;NAN;NAN;1.172;0.164;0.903;9.229;NAN;gbncc,lotaas;
100;J0205+6449;-1.400;0.540;NAN;55487.00;130.719;3.084;31.40801029;64.82814842;0.065716;1.94e-13;140.70;NAN;NAN;0.04;NAN;3.200;0.172;2.422;10.585;GRS:4FGL_J0205.7+6449[aab+22],SNR:3C58[b;misc,FermiBlind;
101;J0206-4028;9.000;26.000;NAN;57600.00;258.595;-69.633;31.50538750;-40.46767222;0.630551;1.20e-15;12.90;NAN;11.00;0.80;NAN;1.260;-1.181;-0.430;8.587;NAN;mol2,pks70;
102;J0209+4331;NAN;NAN;NAN;59148.00;137.686;-17.094;32.47322083;43.51831944;0.863883;5.72e-17;57.29;NAN;NAN;0.01;NAN;2.531;-0.744;1.629;10.289;NAN;fast_crafts;
103;J0209+5759;NAN;NAN;NAN;58790.00;133.162;-3.314;32.40543333;57.99591944;1.063906;1.39e-14;55.28;NAN;NAN;NAN;NAN;1.743;-0.101;1.269;9.690;NAN;chime;
104;J0211+4235;NAN;NAN;NAN;59424.00;138.214;-17.905;32.77758750;42.59012778;0.350731;1.11e-18;49.70;NAN;NAN;0.11;NAN;2.240;-0.689;1.420;10.089;NAN;fast_crafts;
105;J0211-8159;NAN;NAN;NAN;49525.14;299.592;-34.606;32.99583333;-81.99338889;3.2319;8.7e-16;24.36;NAN;6.00;0.30;NAN;1.523;-0.865;-1.090;7.881;NAN;pks70;
106;J0212+5222;NAN;NAN;NAN;56500.00;135.331;-8.520;33.21724475;52.38041719;0.376386;6.60e-15;38.21;NAN;4.10;0.90;NAN;1.558;-0.231;1.083;9.596;NAN;htru_eff,gbncc,lotaas;
107;J0215+6218;NAN;NAN;NAN;51341.00;132.575;1.030;33.98594524;62.30927029;0.548880;6.62e-16;84.00;NAN;14.50;3.70;NAN;2.004;0.036;1.475;9.856;NAN;misc,gbncc;
108;J0220+36;NAN;NAN;NAN;NAN;139.508;-17.527;34.52649404;42.53815976;NAN;NAN;45.00;NAN;NAN;NAN;NAN;NAN;-0.000;0.000;8.500;NAN;misc;
109;J0220+3626;NAN;NAN;NAN;NAN;142.317;-23.040;35.17550000;36.44880556;1.029700;NAN;40.00;NAN;NAN;NAN;NAN;2.240;-0.877;1.260;10.131;NAN;misc,ar327,lotaas,tulipp;
110;J0227+3356;NAN;NAN;NAN;59304.00;144.657;-24.870;36.73775000;33.94104444;1.240102;2.85e-15;27.00;NAN;NAN;NAN;NAN;1.595;-0.671;0.837;9.680;NAN;chime,ar327;
111;J0229+20;NAN;NAN;NAN;NAN;151.579;-36.417;37.26250000;20.96666667;0.806900;NAN;27.00;NAN;NAN;NAN;NAN;2.088;-1.240;0.800;9.978;NAN;ar327,fast_gpps;
