#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
85;J0157+6212;1.570;44.800;0.560;56000.00;130.586;0.326;29.45809750;62.20740222;2.351745;1.89e-13;30.21;33.400;118.900;0.00;6.50;1.90;NAN;1.786;1.385;0.010;1.356;9.662;NAN;jb1,gb3,gbncc,lotaas;NAN;
86;J0158+21;NAN;NAN;NAN;55387.00;143.208;-39.084;29.62083333;21.13333333;0.505300;NAN;20.00;NAN;NAN;NAN;NAN;NAN;NAN;1.569;1.569;-0.989;0.729;9.475;NAN;ar327,lotaas;NAN;
87;J0201+7005;NAN;NAN;NAN;56777.00;128.889;8.033;30.42226667;70.08836389;1.349184;5.51e-15;21.03;11.000;49.000;NAN;NAN;NAN;NAN;1.172;1.172;0.164;0.903;9.229;NAN;gbncc,lotaas;RRAT[kkl+15];
88;J0205+6449;-1.400;0.540;NAN;55487.00;130.719;3.084;31.40801029;64.82814842;0.065716;1.94e-13;140.70;2.300;NAN;NAN;NAN;0.04;NAN;3.200;2.784;0.172;2.422;10.585;GRS:4FGL_J0205.7+6449[aab+22],SNR:PWN:3C;misc;HE;
89;J0206-4028;9.000;26.000;NAN;57600.00;258.595;-69.633;31.50538750;-40.46767222;0.630551;1.20e-15;12.90;6.200;19.000;NAN;11.00;0.80;NAN;1.260;1.260;-1.181;-0.430;8.587;NAN;mol2,pks70;NAN;
90;J0209+5759;NAN;NAN;NAN;58790.00;133.162;-3.314;32.40543333;57.99591944;1.063906;1.39e-14;55.28;20.000;NAN;NAN;NAN;NAN;NAN;1.743;1.743;-0.101;1.269;9.690;NAN;chime;NAN;
91;J0210+5845;NAN;NAN;NAN;58011.00;133.098;-2.543;32.73083333;58.75111111;1.766208;1.34e-13;76.77;40.900;76.000;NAN;NAN;NAN;NAN;1.952;1.952;-0.087;1.424;9.832;NAN;lotaas;NAN;
92;J0211-8159;NAN;NAN;NAN;49525.14;299.592;-34.606;32.99583333;-81.99338889;1.077333;2.90e-16;24.36;42.000;129.000;NAN;6.00;0.30;NAN;1.523;1.523;-0.865;-1.090;7.881;NAN;pks70;NAN;
93;J0212+5222;NAN;NAN;NAN;56500.00;135.331;-8.520;33.21724475;52.38041719;0.376386;6.60e-15;38.21;13.000;20.000;NAN;4.10;0.90;NAN;1.558;1.558;-0.231;1.083;9.596;NAN;htru_eff,gbncc,lotaas;NAN;
94;J0215+6218;NAN;NAN;NAN;51341.00;132.575;1.030;33.98594524;62.30927029;0.548880;6.62e-16;84.00;41.000;105.000;NAN;14.50;3.70;NAN;2.004;2.004;0.036;1.475;9.856;NAN;misc,gbncc;NAN;
