#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST;DIST_DM;ZZ;XX;YY;ASSOC;SURVEY;PSR;
;;(mas/yr);(mas/yr);(mas);(MJD);(deg);(deg);(deg);(deg);(s);(s/s);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);(kpc);(kpc);(kpc);(kpc);;;TYPE;
2392;J1911+0751g;NAN;NAN;NAN;NAN;42.225;-0.896;287.92916667;7.85000000;0.796910;NAN;220.70;NAN;NAN;NAN;NAN;0.05;NAN;5.573;5.573;-0.087;3.745;4.374;NAN;fast_gpps;NAN;
2393;J1911+0921;NAN;NAN;NAN;56041.00;43.576;-0.207;287.94369583;9.36577778;0.273707;1.75e-17;340.10;15.000;NAN;NAN;NAN;0.11;NAN;6.412;6.412;-0.023;4.420;3.855;NAN;palfa,fast_gpps;NAN;
2394;J1911+0925;NAN;NAN;NAN;55982.00;43.654;-0.227;287.99780000;9.42561111;0.323858;3.55e-15;486.60;19.000;NAN;0.04;NAN;0.09;NAN;8.147;8.147;-0.032;5.624;2.605;NAN;palfa;NAN;
2395;J1911+0939g;NAN;NAN;NAN;NAN;43.812;-0.045;287.90833333;9.65000000;0.365470;NAN;597.30;NAN;NAN;NAN;NAN;0.03;NAN;10.593;10.593;-0.008;7.333;0.856;NAN;fast_gpps;NAN;
2396;J1911+1051;NAN;NAN;NAN;56578.00;44.890;0.499;287.92609167;10.85742778;0.190873;1.22e-14;445.21;7.000;NAN;NAN;NAN;0.05;NAN;10.118;10.118;0.088;7.141;1.332;NAN;palfa,fast_gpps;NAN;
2397;J1911+1252g;NAN;NAN;NAN;NAN;46.645;1.479;287.86666667;12.86666667;0.027240;NAN;68.80;NAN;NAN;NAN;NAN;0.03;NAN;2.167;2.167;0.056;1.575;7.013;NAN;fast_gpps;NAN;
2398;J1911+1301;NAN;NAN;NAN;57915.00;46.792;1.538;287.88224583;13.02405556;1.010462;1.89e-15;389.00;16.000;NAN;NAN;NAN;0.05;NAN;11.653;11.653;0.313;8.490;0.525;NAN;palfa;NAN;
2399;J1911+1336;NAN;NAN;NAN;58410.00;47.368;1.712;287.99808750;13.61527778;0.299992;1.59e-16;323.95;8.000;NAN;NAN;NAN;0.07;NAN;10.420;10.420;0.311;7.663;1.446;NAN;palfa;NAN;
2400;J1911+1347;-2.944;-3.709;0.180;57206.00;47.518;1.809;287.98001448;13.79287662;0.004626;1.69e-20;30.99;0.150;0.440;NAN;3.00;0.90;NAN;1.365;1.365;0.043;1.006;7.579;NAN;pksmb;NAN;
2401;J1911+1758;NAN;NAN;NAN;49079.50;51.238;3.738;287.98079167;17.97938611;0.460406;1.31e-17;48.98;9.400;20.000;NAN;1.90;NAN;NAN;1.955;1.955;0.127;1.521;7.279;NAN;ar3;NAN;
2402;J1912+0934g;NAN;NAN;NAN;NAN;43.858;-0.313;288.17083333;9.56666667;0.897470;NAN;143.80;NAN;NAN;NAN;NAN;0.03;NAN;4.025;4.025;-0.022;2.789;5.598;NAN;fast_gpps;NAN;
2403;J1912+1036;NAN;NAN;NAN;51600.00;44.794;0.152;288.19304167;10.61155556;0.409349;1.58e-14;147.00;13.000;30.000;0.00;1.60;0.22;NAN;4.154;4.154;0.011;2.927;5.552;NAN;ar1,pksmb,palfa;NAN;
2404;J1912+1105g;NAN;NAN;NAN;NAN;45.173;0.444;288.10833333;11.08333333;0.670710;NAN;150.40;NAN;NAN;NAN;NAN;0.02;NAN;4.348;4.348;0.034;3.084;5.435;NAN;fast_gpps;NAN;
2405;J1912+1417g;NAN;NAN;NAN;NAN;48.022;1.904;288.13333333;14.28333333;0.003170;NAN;66.60;NAN;NAN;NAN;NAN;0.04;NAN;2.164;2.164;0.072;1.608;7.053;NAN;fast_gpps;NAN;
2406;J1912+2104;-11.370;-5.800;0.090;56000.00;54.086;4.989;288.18057958;21.07609056;2.232969;1.02e-14;88.60;11.000;87.000;NAN;6.00;0.80;NAN;3.369;3.369;0.293;2.718;6.531;NAN;jb1,ar3;NAN;
2407;J1912+2525;NAN;NAN;NAN;49079.50;57.933;7.042;288.07760833;25.41725556;0.621976;2.25e-16;37.85;9.000;16.000;NAN;1.60;NAN;NAN;2.150;2.150;0.264;1.808;7.367;NAN;ar3,lotaas,gbncc;NAN;
2408;J1913-0440;7.000;-5.000;NAN;46634.00;31.307;-7.124;288.47572292;-4.67991111;0.825936;4.07e-15;89.39;8.900;18.000;0.00;118.00;6.80;NAN;4.041;4.041;-0.501;2.084;5.074;NAN;mol1,jb1,mol2,gb2,pks70,pkssw,lotaa;NAN;
2409;J1913+0446;NAN;NAN;NAN;51832.34;39.736;-2.790;288.46175000;4.76833333;1.616130;2.79e-13;109.10;16.000;60.000;NAN;NAN;0.48;NAN;4.338;4.338;-0.211;2.770;5.168;NAN;pksmb;NAN;
2410;J1913+0523;NAN;NAN;NAN;58290.00;40.243;-2.395;288.34467083;5.39966667;0.661997;1.80e-15;333.60;2.000;NAN;NAN;NAN;0.03;NAN;16.102;16.102;-0.673;10.393;-3.780;NAN;palfa,fast_gpps;NAN;
2411;J1913+0657;NAN;NAN;NAN;56700.00;41.644;-1.712;288.38716667;6.95675000;1.257181;2.83e-15;142.00;21.000;NAN;NAN;NAN;0.05;NAN;5.069;5.069;-0.151;3.367;4.714;NAN;palfa;NAN;
2412;J1913+0832;NAN;NAN;NAN;51685.00;42.980;-0.862;288.25208333;8.53475000;0.134409;4.57e-15;355.20;7.400;NAN;0.02;NAN;0.90;NAN;8.204;8.204;-0.123;5.592;2.499;NAN;pksmb,palfa;NAN;
2413;J1913+0904;NAN;NAN;NAN;53249.00;43.502;-0.684;288.33775417;9.07927778;0.163246;1.76e-14;95.30;1.400;6.000;NAN;NAN;0.40;NAN;2.997;2.997;-0.036;2.063;6.326;GRS:4FGL_J1913.3+0905[aab+22];pksmb,palfa;HE;
2414;J1913+0936;NAN;NAN;NAN;51600.00;44.034;-0.553;288.46958333;9.61161111;1.241965;4.32e-16;157.00;34.000;51.000;NAN;0.80;0.14;NAN;4.337;4.337;-0.042;3.014;5.382;NAN;ar1,pksmb,palfa;NAN;
2415;J1913+1000;NAN;NAN;NAN;52187.00;44.285;-0.194;288.26495833;10.00066667;0.837148;1.67e-14;422.00;34.000;62.000;0.01;NAN;0.53;NAN;7.671;7.671;-0.026;5.356;3.009;NAN;pksmb,palfa;NAN;
2416;J1913+1011;NAN;NAN;NAN;51697.00;44.485;-0.167;288.33475417;10.18971389;0.035909;3.37e-15;178.80;1.700;5.000;0.00;NAN;0.90;NAN;4.613;4.613;-0.013;3.232;5.209;GRS:4FGL_J1913.3+1019[aab+22];pksmb,palfa;HE[sbc+19];
2417;J1913+1037g;NAN;NAN;NAN;NAN;44.925;-0.087;288.47083333;10.61666667;0.434210;NAN;437.00;NAN;NAN;NAN;NAN;0.01;NAN;7.889;7.889;-0.012;5.571;2.914;NAN;fast_gpps;NAN;
2418;J1913+1050;NAN;NAN;NAN;56700.00;45.090;0.081;288.39735000;10.84072222;0.190067;1.95e-16;231.10;5.200;NAN;NAN;NAN;0.06;NAN;5.446;5.446;0.008;3.857;4.655;NAN;palfa;NAN;
2419;J1913+1054g;NAN;NAN;NAN;NAN;45.089;0.211;288.27916667;10.90000000;0.450620;NAN;338.00;NAN;NAN;NAN;NAN;0.02;NAN;7.112;7.112;0.026;5.037;3.479;NAN;fast_gpps;NAN;
2420;J1913+11025;NAN;NAN;NAN;56356.00;45.289;0.151;288.42797917;11.04966667;0.923872;3.40e-16;626.00;31.000;NAN;0.05;NAN;0.14;NAN;11.411;11.411;0.030;8.109;0.472;NAN;palfa;NAN;
2421;J1913+1145;NAN;NAN;NAN;51290.00;45.920;0.476;288.43283333;11.75919444;0.306069;5.02e-15;642.00;11.000;28.000;0.02;NAN;0.43;NAN;13.817;13.817;0.115;9.925;-1.112;NAN;pksmb,palfa;NAN;
2422;J1913+1330;NAN;NAN;NAN;55090.90;47.421;1.381;288.32487500;13.50910556;0.923391;8.68e-15;175.64;2.000;NAN;NAN;NAN;NAN;NAN;6.179;6.179;0.149;4.549;4.320;NAN;pksmb,palfa;RRAT;
2423;J1913+1400;-5.280;-8.940;0.190;56000.00;47.881;1.592;288.35146958;14.01459972;0.521473;8.04e-16;145.05;5.600;20.000;0.00;5.20;1.20;NAN;5.263;5.246;0.146;3.902;4.972;NAN;ar1,ar2,ar3,pksmb,palfa;NAN;
2424;J1913+3732;NAN;NAN;NAN;56100.00;69.097;12.128;288.36619583;37.53675000;0.851079;1.38e-15;72.33;13.000;30.000;NAN;NAN;0.38;NAN;7.584;7.584;1.593;6.927;5.855;NAN;htru_eff,gbncc;NAN;
2425;J1914+0219;NAN;NAN;NAN;53040.00;37.633;-4.037;288.59914167;2.32994444;0.457527;1.02e-15;236.00;14.000;22.000;NAN;NAN;1.60;NAN;14.386;14.386;-1.013;8.762;-2.865;NAN;pksmb,gbncc;NAN;
2426;J1914+0625;NAN;NAN;NAN;56964.00;41.233;-2.092;288.53482917;6.41693611;0.878889;4.53e-16;204.33;49.000;NAN;NAN;NAN;0.06;NAN;8.333;8.333;-0.304;5.489;2.237;NAN;palfa;NAN;
2427;J1914+0631;NAN;NAN;NAN;52582.00;41.352;-2.071;288.57183333;6.53230556;0.693811;3.32e-17;58.00;10.000;26.670;NAN;NAN;0.26;NAN;1.776;1.776;-0.064;1.173;7.168;NAN;pksmb,palfa;NAN;
2428;J1914+0659;NAN;NAN;NAN;56351.00;41.785;-1.846;288.57352917;7.01972222;0.018512;3.10e-20;225.34;NAN;NAN;NAN;NAN;0.41;NAN;8.467;8.467;-0.273;5.639;2.190;NAN;palfa;NAN;
2429;J1914+0805;NAN;NAN;NAN;58528.00;42.708;-1.307;288.52295000;8.08686111;0.455499;3.02e-17;344.40;29.000;NAN;NAN;NAN;0.16;NAN;10.671;10.671;-0.243;7.236;0.661;NAN;fast_gpps,palfa;NAN;
2430;J1914+0838;NAN;NAN;NAN;56825.00;43.243;-1.124;288.61021083;8.64587222;0.440040;5.86e-16;290.70;4.000;NAN;NAN;NAN;0.28;NAN;8.071;8.071;-0.158;5.528;2.622;NAN;pks_superb,fast_gpps,palfa;NAN;
2431;J1914+1029g;NAN;NAN;NAN;NAN;44.864;-0.258;288.59583333;10.48333333;2.484990;NAN;59.70;NAN;NAN;NAN;NAN;0.01;NAN;1.880;1.880;-0.008;1.326;7.167;NAN;fast_gpps;NAN;
2432;J1914+1054g;NAN;NAN;NAN;NAN;45.202;-0.007;288.52916667;10.90000000;0.138870;NAN;418.70;NAN;NAN;NAN;NAN;0.03;NAN;7.767;7.767;-0.001;5.511;3.027;NAN;fast_gpps;NAN;
2433;J1914+1122;NAN;NAN;NAN;42826.50;45.623;0.199;288.54216667;11.36769444;0.600997;6.56e-16;100.00;20.000;23.000;NAN;1.10;0.55;NAN;3.140;3.140;0.011;2.244;6.304;NAN;ar1,ar4,pksmb,palfa;NAN;
2434;J1914+1228g;NAN;NAN;NAN;NAN;46.681;0.548;288.72916667;12.46666667;2.277550;NAN;312.00;NAN;NAN;NAN;NAN;0.02;NAN;7.309;7.309;0.070;5.317;3.486;NAN;fast_gpps;NAN;
2435;J1914+1428;NAN;NAN;NAN;56000.00;48.461;1.487;288.72477500;14.47950000;1.159520;2.18e-15;220.90;22.000;NAN;NAN;NAN;0.06;NAN;6.514;6.514;0.169;4.874;4.182;NAN;palfa;NAN;
2436;J1915+0227;NAN;NAN;NAN;53036.00;37.825;-4.117;288.75884167;2.46326944;0.317306;2.99e-16;191.90;6.500;28.000;NAN;NAN;0.40;NAN;10.203;10.203;-0.732;6.241;0.462;NAN;pksmb,gbncc;NAN;
2437;J1915+0639;NAN;NAN;NAN;57374.00;41.655;-2.366;288.97636250;6.66283611;0.644140;1.84e-15;212.32;8.000;NAN;NAN;NAN;0.04;NAN;8.874;8.874;-0.366;5.893;1.875;NAN;palfa;NAN;
2438;J1915+0738;NAN;NAN;NAN;49079.50;42.466;-1.803;288.85333333;7.64205556;1.542704;3.31e-15;39.00;9.000;20.000;NAN;1.90;0.34;NAN;1.404;1.404;-0.044;0.947;7.465;NAN;ar3,pksmb,palfa;NAN;
2439;J1915+0752;NAN;NAN;NAN;53048.00;42.623;-1.614;288.75808333;7.86922222;2.058314;1.39e-16;105.30;24.000;40.000;NAN;1.70;0.21;NAN;3.566;3.566;-0.100;2.414;5.877;NAN;ar4,pksmb,palfa;NAN;
2440;J1915+0832g;NAN;NAN;NAN;NAN;43.219;-1.321;288.77500000;8.53333333;2.710090;NAN;36.20;NAN;NAN;NAN;NAN;0.02;NAN;1.366;1.366;-0.031;0.935;7.505;NAN;fast_gpps;NAN;
2441;J1915+0838;NAN;NAN;NAN;52025.00;43.337;-1.295;288.80779167;8.64991667;0.342777;1.57e-15;358.00;14.000;25.000;NAN;NAN;0.29;NAN;10.840;10.840;-0.245;7.438;0.618;NAN;pksmb,palfa;NAN;
2442;J1915+1009;6.000;-17.000;NAN;57600.00;44.707;-0.651;288.87496250;10.16204722;0.404552;1.53e-14;241.69;4.300;9.500;0.00;23.00;2.00;NAN;7.000;5.990;-0.079;4.924;3.525;NAN;ar1,jb2,ar2,ar3,pksmb,palfa;NAN;
2443;J1915-11;NAN;NAN;NAN;56657.00;25.244;-10.394;288.75000000;-11.50000000;2.177000;NAN;91.06;NAN;NAN;NAN;NAN;NAN;NAN;5.495;5.495;-0.991;2.305;3.611;NAN;gbt350;RRAT;
2444;J1915+1145;NAN;NAN;NAN;56367.00;46.129;0.082;288.88801292;11.76138333;0.173647;1.53e-17;337.78;5.600;NAN;NAN;NAN;0.09;NAN;7.153;7.153;0.010;5.157;3.543;NAN;palfa;NAN;
2445;J1915+1150;NAN;NAN;NAN;55927.00;46.170;0.180;288.81920833;11.84316667;0.100041;1.37e-14;699.83;12.000;NAN;NAN;NAN;0.05;NAN;14.005;14.005;0.044;10.103;-1.199;NAN;palfa;NAN;
2446;J1915+1410;NAN;NAN;NAN;53399.00;48.275;1.200;288.89756667;14.18097222;0.297494;4.89e-17;273.70;15.000;24.000;NAN;NAN;0.13;NAN;7.128;7.128;0.149;5.319;3.757;NAN;pksmb,palfa;NAN;
2447;J1915+1647;NAN;NAN;NAN;48867.00;50.552;2.468;288.82962409;16.78568769;1.616231;4.05e-16;62.57;35.000;47.000;NAN;4.50;NAN;NAN;2.196;2.196;0.095;1.694;7.106;NAN;ar1,ar2,ar3,ar4,palfa,lotaas;NAN;
2448;J1916+0741g;NAN;NAN;NAN;NAN;42.602;-1.975;289.07083333;7.68333333;0.011220;NAN;220.10;NAN;NAN;NAN;NAN;0.03;NAN;8.442;8.442;-0.291;5.711;2.290;NAN;fast_gpps;NAN;
2449;J1916+0748;NAN;NAN;NAN;53048.00;42.772;-2.047;289.21458333;7.80000000;0.541752;1.07e-14;304.00;80.000;230.000;NAN;1.14;2.80;NAN;11.779;11.779;-0.421;7.994;-0.141;NAN;ar4,pksmb,palfa;NAN;
2450;J1916+0748g;NAN;NAN;NAN;NAN;42.788;-2.078;289.25000000;7.80000000;0.867910;NAN;153.10;NAN;NAN;NAN;NAN;0.01;NAN;6.438;6.438;-0.233;4.370;3.778;NAN;fast_gpps;NAN;
2451;J1916+0844;NAN;NAN;NAN;52018.00;43.538;-1.493;289.07950417;8.73527778;0.439995;2.90e-15;338.01;9.000;29.000;0.01;NAN;0.44;NAN;10.988;10.988;-0.286;7.566;0.537;NAN;pksmb,palfa;NAN;
2452;J1916+0852;NAN;NAN;NAN;52352.00;43.674;-1.448;289.10250000;8.87666667;2.182746;1.31e-14;295.00;48.000;NAN;NAN;NAN;0.13;NAN;9.391;9.391;-0.237;6.483;1.710;NAN;pksmb,palfa;NAN;
2453;J1916+0951;-8.786;-2.073;NAN;49910.00;44.556;-1.019;289.13476905;9.85721612;0.270254;2.52e-15;60.95;9.500;12.000;0.00;20.00;1.60;NAN;1.904;1.904;-0.034;1.336;7.144;NAN;ar1,mol2,jb2,gb3,ar2,ar3,pksmb,palf;NAN;
2454;J1916+1023;NAN;NAN;NAN;52529.00;45.031;-0.790;289.15379167;10.38416667;1.618339;6.81e-16;341.80;72.000;NAN;NAN;NAN;0.36;NAN;7.877;7.877;-0.109;5.572;2.934;NAN;pksmb,fast_gpps;NAN;
2455;J1916+1030;NAN;NAN;NAN;47469.83;45.099;-0.638;289.04883333;10.51483333;0.628970;3.40e-17;387.20;23.000;39.000;0.01;NAN;0.22;NAN;8.148;8.148;-0.091;5.771;2.749;NAN;misc,pksmb,palfa;NAN;
2456;J1916+1030g;NAN;NAN;NAN;NAN;45.151;-0.769;289.19166667;10.50000000;0.349380;NAN;519.70;NAN;NAN;NAN;NAN;0.01;NAN;11.353;11.353;-0.152;8.048;0.494;NAN;fast_gpps;NAN;
2457;J1916+1225;NAN;NAN;NAN;54570.00;46.811;0.225;289.08352083;12.43165000;0.227387;2.35e-14;265.31;1.700;NAN;NAN;NAN;0.09;NAN;6.486;6.486;0.026;4.729;4.061;NAN;palfa;NAN;
2458;J1916+1312;NAN;NAN;NAN;57600.00;47.576;0.451;289.24445833;13.21388889;0.281845;3.66e-15;237.01;5.800;9.600;0.00;12.00;1.20;NAN;4.500;6.351;0.035;3.322;5.464;NAN;ar1,jb2,ar3,pksmb,palfa;NAN;
2459;J1916-2939;NAN;NAN;NAN;57346.00;8.245;-18.070;289.13625417;-29.65772222;1.248617;1.24e-15;38.34;35.000;61.000;NAN;NAN;NAN;NAN;1.600;1.600;-0.496;0.218;6.995;NAN;gbncc;NAN;
2460;J1916+3224;NAN;NAN;NAN;57638.00;64.627;9.430;289.01445000;32.41102778;1.137450;3.47e-15;84.11;11.200;46.600;NAN;NAN;NAN;NAN;7.945;7.945;1.302;7.082;5.141;NAN;lotaas,gbncc;NAN;
2461;J1917+0743g;NAN;NAN;NAN;NAN;42.765;-2.212;289.35833333;7.71666667;0.813470;NAN;199.50;NAN;NAN;NAN;NAN;0.02;NAN;8.247;8.247;-0.318;5.595;2.450;NAN;fast_gpps;NAN;
2462;J1917+0834;NAN;NAN;NAN;52345.00;43.575;-1.892;289.45355417;8.58184167;2.129665;1.75e-14;29.18;56.000;69.000;NAN;0.44;0.31;NAN;1.231;1.231;-0.041;0.848;7.609;NAN;misc,pksmb;NAN;
2463;J1917+1046g;NAN;NAN;NAN;NAN;45.519;-0.894;289.47916667;10.76666667;0.087730;NAN;163.10;NAN;NAN;NAN;NAN;0.01;NAN;4.865;4.865;-0.076;3.471;5.092;NAN;fast_gpps;NAN;
2464;J1917+1121g;NAN;NAN;NAN;NAN;45.981;-0.521;289.36250000;11.35000000;0.510310;NAN;303.50;NAN;NAN;NAN;NAN;0.01;NAN;7.078;7.078;-0.064;5.090;3.582;NAN;fast_gpps;NAN;
2465;J1917+1259g;NAN;NAN;NAN;NAN;47.430;0.235;289.37083333;12.98333333;0.005630;NAN;117.00;NAN;NAN;NAN;NAN;0.04;NAN;3.637;3.637;0.015;2.678;6.040;NAN;fast_gpps;NAN;
2466;J1917+1353;-1.280;3.810;0.170;56000.00;48.260;0.624;289.41577667;13.89918806;0.194631;7.20e-15;94.54;2.800;8.400;0.00;43.00;6.80;NAN;5.882;2.940;0.064;4.389;4.584;NAN;misc,ar1,mol2,jb2,gb3,ar2,ar3,pksmb;NAN;
2467;J1917+1411g;NAN;NAN;NAN;NAN;48.485;0.806;289.35833333;14.18333333;0.446460;NAN;123.40;NAN;NAN;NAN;NAN;0.01;NAN;3.968;3.968;0.056;2.971;5.870;NAN;fast_gpps;NAN;
2468;J1917+17;NAN;NAN;NAN;NAN;51.284;2.397;289.25000000;17.40000000;0.419600;NAN;40.00;NAN;NAN;NAN;NAN;NAN;NAN;1.713;1.713;0.072;1.335;7.430;NAN;pumps;NAN;
2469;J1917+1737;NAN;NAN;NAN;55070.00;51.528;2.418;289.34990000;17.62544444;0.334725;3.24e-16;208.00;5.600;NAN;NAN;NAN;0.05;NAN;5.530;5.530;0.233;4.326;5.063;NAN;palfa;NAN;
2470;J1917+2224;NAN;NAN;NAN;49724.00;55.785;4.553;289.43428307;22.38021094;0.425897;2.86e-15;134.75;21.000;38.000;NAN;3.00;0.36;NAN;4.965;4.965;0.394;4.093;5.717;NAN;ar2,lotaas,gbncc;NAN;
2471;J1918-1052;NAN;NAN;NAN;55026.00;26.226;-10.963;289.70102917;-10.87955000;0.798693;8.65e-16;62.73;13.000;20.000;NAN;NAN;NAN;NAN;2.966;2.966;-0.564;1.287;5.888;NAN;gbt350,gbncc;NAN;
2472;J1918+1311;NAN;NAN;NAN;56866.00;47.759;0.055;289.69258333;13.19014167;0.856749;2.26e-15;244.50;7.000;NAN;NAN;NAN;0.05;NAN;6.187;6.187;0.006;4.580;4.341;NAN;palfa;NAN;
2473;J1918+1340g;NAN;NAN;NAN;NAN;48.195;0.250;289.72500000;13.66666667;0.232990;NAN;575.90;NAN;NAN;NAN;NAN;0.04;NAN;11.865;11.865;0.052;8.844;0.591;NAN;fast_gpps;NAN;
2474;J1918+1444;NAN;NAN;NAN;49690.00;49.096;0.866;289.59849272;14.75166717;1.181023;2.12e-13;27.20;6.900;27.000;NAN;1.60;1.00;NAN;1.304;1.304;0.020;0.985;7.646;NAN;ar1,jb2,ar3,pksmb,palfa;HE[zkgl09];
2475;J1918+1536g;NAN;NAN;NAN;NAN;49.845;1.265;289.59583333;15.60000000;0.109950;NAN;123.70;NAN;NAN;NAN;NAN;0.01;NAN;3.830;3.830;0.085;2.927;6.031;NAN;fast_gpps;NAN;
2476;J1918+1540g;NAN;NAN;NAN;NAN;49.897;1.310;289.57916667;15.66666667;0.004280;NAN;271.20;NAN;NAN;NAN;NAN;0.02;NAN;6.477;6.477;0.148;4.953;4.329;NAN;fast_gpps;NAN;
2477;J1918+1541;NAN;NAN;NAN;49079.50;49.894;1.360;289.53208333;15.68755556;0.370883;2.54e-15;11.50;5.800;25.340;NAN;0.80;NAN;NAN;0.727;0.727;0.017;0.556;8.032;NAN;ar3,fast_gpps;NAN;
2478;J1918+1547g;NAN;NAN;NAN;NAN;50.028;1.311;289.64166667;15.78333333;0.003760;NAN;64.60;NAN;NAN;NAN;NAN;0.02;NAN;2.185;2.185;0.050;1.674;7.097;NAN;fast_gpps;NAN;
2479;J1919+0021;10.110;-4.700;0.170;56000.00;36.506;-6.151;289.96113125;0.36103389;1.272260;7.67e-15;90.31;16.000;36.000;NAN;16.00;0.80;NAN;5.882;4.100;-0.630;3.479;3.799;NAN;jb1,mol2,gb2,gb3,pks70,ar4,pkssw,lo;NAN;
2480;J1919+0134;NAN;NAN;NAN;51650.00;37.582;-5.563;289.93175000;1.58236111;1.603984;5.89e-16;191.90;49.000;80.000;NAN;NAN;2.10;NAN;14.371;14.371;-1.393;8.724;-2.835;NAN;pkssw,pksmb;NAN;
2481;J1919+1314;NAN;NAN;NAN;54790.00;47.895;-0.088;289.88744167;13.24369444;0.571400;3.79e-15;613.40;17.000;NAN;NAN;NAN;0.22;NAN;13.026;13.026;-0.020;9.664;-0.234;NAN;palfa;NAN;
2482;J1919+1527g;NAN;NAN;NAN;NAN;49.876;0.886;289.95833333;15.45000000;1.371460;NAN;697.50;NAN;NAN;NAN;NAN;0.01;NAN;16.926;16.926;0.262;12.941;-2.407;NAN;fast_gpps;NAN;
2483;J1919+1645;NAN;NAN;NAN;53560.00;50.954;1.642;289.78851250;16.75631111;0.562790;2.16e-16;208.00;14.000;NAN;NAN;NAN;0.16;NAN;5.414;5.414;0.155;4.203;5.091;NAN;pksngp;NAN;
2484;J1919+1745;NAN;NAN;NAN;55320.00;51.897;1.987;289.93059167;17.75105278;2.081343;1.71e-15;142.30;63.000;73.000;NAN;NAN;0.19;NAN;4.094;4.094;0.142;3.220;5.975;NAN;palfa;RRAT;
2485;J1919+23;NAN;NAN;NAN;NAN;57.300;4.901;289.85833333;23.87944444;0.004630;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;0.000;0.000;8.500;GRS:4FGL_J1919.1+2354[aab+22];FermiAssoc;NRAD[aab+22];
2486;J1919+2621;NAN;NAN;NAN;58333.00;59.535;5.993;289.92088750;26.35818333;0.651512;5.46e-16;96.50;7.110;18.600;NAN;NAN;0.57;NAN;6.099;6.099;0.637;5.228;5.425;NAN;fast_crafts;NAN;
2487;J1920-0950;NAN;NAN;NAN;57037.00;27.417;-10.977;290.23304167;-9.83361111;1.037824;3.93e-16;93.00;46.000;60.000;NAN;NAN;0.20;NAN;6.186;6.186;-1.178;2.796;3.109;NAN;htru_pks;NAN;
2488;J1920+1040;NAN;NAN;NAN;52596.00;45.784;-1.590;290.23075000;10.67527778;2.215802;6.48e-15;304.00;45.000;NAN;NAN;NAN;0.57;NAN;10.151;10.151;-0.282;7.273;1.424;NAN;pksmb,palfa;NAN;
2489;J1920+1110;NAN;NAN;NAN;51719.00;46.152;-1.199;290.05545833;11.18305556;0.509886;1.56e-16;188.40;10.200;NAN;0.03;NAN;0.39;NAN;6.319;6.319;-0.132;4.556;4.123;NAN;pksmb,ar4,palfa,fast_gpps;NAN;
2490;J1920+1515g;NAN;NAN;NAN;NAN;49.760;0.679;290.09166667;15.25000000;1.602760;NAN;655.50;NAN;NAN;NAN;NAN;0.02;NAN;15.739;15.739;0.186;12.013;-1.667;NAN;fast_gpps;NAN;
2491;J1920+2650;NAN;NAN;NAN;49912.00;60.068;6.027;290.15989412;26.84400048;0.785522;3.44e-17;27.71;13.900;28.100;NAN;6.00;NAN;NAN;1.722;1.722;0.181;1.484;7.646;NAN;gb2,ar4,gb4,lotaas;NAN;
2492;J1921-05;NAN;NAN;NAN;56017.00;31.483;-9.033;290.26666667;-5.38333333;2.227590;NAN;80.70;28.000;96.000;NAN;NAN;NAN;NAN;4.077;4.077;-0.640;2.103;5.066;NAN;htru_pks,gbncc;NAN;
2493;J1921-0510;NAN;NAN;NAN;57325.00;31.724;-9.032;290.37270833;-5.16966667;0.794254;6.02e-16;96.60;32.600;NAN;NAN;NAN;0.40;NAN;5.604;5.604;-0.880;2.910;3.792;NAN;pks_superb,gbncc;NAN;
2494;J1921+0812;NAN;NAN;NAN;53277.00;43.710;-2.934;290.44876667;8.21440556;0.210648;5.36e-15;84.00;1.600;3.500;NAN;NAN;0.66;NAN;2.896;2.896;-0.148;1.999;6.409;NAN;pksmb;NAN;
2495;J1921+0921;NAN;NAN;NAN;58119.00;44.733;-2.418;290.47286250;9.35838889;0.562302;9.58e-15;139.50;10.000;NAN;NAN;NAN;0.06;NAN;6.139;6.139;-0.259;4.317;4.143;NAN;palfa;NAN;
2496;J1921+1259g;NAN;NAN;NAN;NAN;47.865;-0.586;290.32500000;12.98333333;0.573160;NAN;366.30;NAN;NAN;NAN;NAN;0.01;NAN;8.227;8.227;-0.084;6.101;2.981;NAN;fast_gpps;NAN;
2497;J1921+1340g;NAN;NAN;NAN;NAN;48.491;-0.308;290.37500000;13.66666667;4.602940;NAN;754.90;NAN;NAN;NAN;NAN;0.03;NAN;25.000;25.000;-0.134;18.721;-8.068;NAN;fast_gpps;NAN;
2498;J1921+1419;NAN;NAN;NAN;48741.00;49.058;0.021;290.35066643;14.32140937;0.618183;5.60e-15;91.64;22.000;40.000;0.01;3.20;0.68;NAN;2.810;2.810;0.001;2.123;6.659;NAN;ar1,jb2,pksmb,palfa,lotaas;NAN;
2499;J1921+1505g;NAN;NAN;NAN;NAN;49.732;0.377;290.35416667;15.08333333;0.611900;NAN;519.90;NAN;NAN;NAN;NAN;0.01;NAN;10.631;10.631;0.070;8.112;1.629;NAN;fast_gpps;NAN;
