PSRJ,RAJD,RAJD_err,DECJD,DECJD_err,PMRA,PMRA_err,PMDEC,PMDEC_err,PX,PX_err,POSEPOCH,REFERENCE FOR PROPER MOTION,CLASS,ANALYSIS_TYPE,P0,P0_err,P1,P1_err,DM,DM_err,DIST,DIST_DM,BSURF,ASSOC
,[deg],[deg],[deg],[deg],[mas/yr],[mas/yr],[mas/yr],[mas/yr],[mas],[mas],[MJD],(only if different from the ATNF),,,[s],[s],[s/s],[s/s],[cm^-3pc],[cm^-3pc],[kpc],[kpc],[G],
J1731-1847,262.82337426,7.1E-08,-18.7924072,8.3E-07,-1.7,0.3,-6,3,NAN,0,55215.1,,PSR,,0.002344559546886,1.1E-16,2.5407E-20,5E-24,106.4711,0.0006,4.78,4.782,247000000,XRS:[pb15]
J1731-4744,262.92567,2.1E-05,-47.743406,1.7E-05,73,15,-132,14,NAN,0,53000,,PSR,,0.82982878524,5E-11,1.63626E-13,4E-18,123.056,0.004,0.7,5.54,11800000000000,SNR:G343.0-6.0(RCW114)[skz+19]
J1732-5049,263.19902805,7.9E-08,-50.81671992,1.1E-07,-0.37,0.08,-9.9,0.2,NAN,0,54500,Perera+ 2019,PSR,,0.00531255029055,1.2E-16,1.41951E-20,1.7E-24,56.8365,0,1.87,1.875,278000000,GRS:[hsg+14]
J1733-3716,263.3615,8.3E-06,-37.282,2.8E-05,4,9,63,34,NAN,0,55359,,PSR,,0.337594902132,5E-12,1.504396E-14,1.1E-19,153.18,0.08,3.15,3.15,2280000000000,NAN
J1735-0724,263.7707208,4.2E-07,-7.4144806,2.8E-07,0.82,0.06,20.63,0.06,0.15,0.04,49887,,PSR,,0.4193349661853,1.1E-12,1.214735E-15,9E-21,73.512,0.004,6.67,0.213,722000000000,NAN
J1738+0333,264.724866814,1.8E-08,3.55302314,5E-08,7.12,0.04,5,0.1,0.68,0.05,56258,Perera+ 2019,PSR,,0.005850095859776,1.1E-18,2.411992E-20,1.4E-25,33.77312,4E-05,1.47,1.506,380000000,OPT:[avk+12]
J1739-2903,264.892883,8.3E-06,-29.05061,5.6E-05,10,4,84,41,NAN,0,54598,S.J.Dang+ 2020,PSR,CT,0.322886477381,6E-12,7.8749E-15,8E-20,138.55,0.02,2.91,2.911,1610000000000,NAN
J1740+1311,265.030606,5E-06,13.199081,8.3E-06,-22,2,-20,2,NAN,0,48262,,PSR,,0.803050264794,4E-12,1.45132E-15,1.2E-20,48.66823,0.00043,4.18,4.176,1090000000000,NAN
J1741-0840,265.3440121,4.2E-07,-8.6754753,2.8E-07,0.41,0.1,6.9,0.09,0.28,0.05,48714,,PSR,,2.043082458401,6E-12,2.27471E-15,5E-20,74.9,0.05,3.57,0.222,2180000000000,NAN
J1741+1351,265.379769744,7.4E-09,13.862254413,1E-08,-8.96,0.03,-7.57,0.04,0.5,0.2,56209,Perera+ 2019,PSR,,0.00374715450026,8E-18,3.021648E-20,1.5E-25,24.19871,0.00014,1.08,1.362,341000000,OPT:[zkk+19]
